open;high;low;close;volume;5 SMA;5 BB Upper;5 BB Lower;5 EMA;10 SMA;10 BB Upper;10 BB Lower;10 EMA;15 SMA;15 BB Upper;15 BB Lower;15 EMA;20 SMA;20 BB Upper;20 BB Lower;20 EMA;Predicted Low;Predicted High
2020-07-29;23.03;23.25;22.92;23.16;44011500;22.918;23.561574005068476;22.274425994931523;22.995026237421786;22.927;23.495385872449326;22.358614127550673;22.887798761650853;22.81599999999999;23.7202953057491;21.911704694250876;22.729028298724174;22.666999999999994;23.773562362977273;21.560437637022716;22.533636476125906;22.678968;23.275686
2020-07-30;22.92;22.92;22.5;22.89;57859000;22.977999999999998;23.446174646899927;22.50982535310007;22.960017491614526;22.936999999999998;23.494032065703763;22.379967934296232;22.888198986805243;22.861333333333324;23.662886884406472;22.059779782260176;22.74914976138365;22.728499999999993;23.667854306509447;21.78914569349054;22.56757585935201;22.886492;23.255919
2020-07-31;22.92;23.14;22.16;22.28;75397300;22.868;23.7908691673254;21.945130832674597;22.733344994409684;22.886999999999997;23.645658355256156;22.128341644743838;22.77761735284065;22.851999999999986;23.692131792382174;22.0118682076178;22.690506041210693;22.737499999999994;23.641979895618967;21.83302010438102;22.54018768227087;22.33783;22.7431
2020-08-03;22.54;22.55;21.72;21.76;63598500;22.58;23.97631210694454;21.183687893055456;22.408896662939792;22.787;23.96043571996461;21.613564280035387;22.59259601596053;22.825999999999986;23.832798319993984;21.81920168000599;22.574192786059356;22.703999999999994;23.74990051856608;21.658099481433908;22.46588409348317;22.097015;23.67746
2020-08-04;21.46;22.05;21.25;21.8;63011900;22.377999999999997;23.95878303381581;20.797216966184184;22.20593110862653;22.642999999999997;23.972267237574467;21.313732762425527;22.44848764942225;22.755999999999986;23.960374467158246;21.551625532841726;22.477418687801936;22.680999999999994;23.81871759052474;21.543282409475246;22.402466560770485;21.494259;22.13715
2020-08-05;22.23;23.28;22.23;23.2;137214700;22.385999999999996;23.998025123873663;20.773974876126328;22.537287405751023;22.651999999999997;24.004918655680694;21.2990813443193;22.585126258618203;22.746666666666655;23.923817686633683;21.569515646699628;22.567741351826694;22.708499999999994;23.88226124511174;21.53473875488825;22.47842212641139;21.10162;21.984007
2020-08-06;23.28;23.53;23.01;23.12;56375100;22.431999999999995;24.17182757766392;20.69217242233607;22.73152493716735;22.705;24.105111602694574;21.304888397305422;22.682376029778528;22.768666666666654;23.970260350468408;21.5670729828649;22.636773682848357;22.753999999999998;23.910742249413804;21.59725775058619;22.539524781038878;22.946302;23.66407
2020-08-07;22.86;22.91;22.55;22.8;56040200;22.535999999999994;24.301785943992048;20.77021405600794;22.75434995811157;22.701999999999998;24.10045152460378;21.303548475396216;22.70376220618243;22.76999999999999;23.97174723988503;21.568252760114948;22.657176972492316;22.772999999999996;23.91303404842965;21.63296595157034;22.564331944749462;23.061798;23.483267
2020-08-10;22.9;23.45;22.64;23.33;52390100;22.849999999999998;24.396568782822115;21.30343121717788;22.946233305407713;22.714999999999996;24.148926718257698;21.281073281742295;22.817623623240166;22.80799999999999;24.062783703614688;21.55321629638529;22.741279850930773;22.831999999999997;23.950551695156197;21.713448304843798;22.637252711916183;22.19418;22.695229
2020-08-11;23.71;23.88;23.06;23.2;66342300;23.13;23.628121471129152;22.631878528870846;23.03082220360514;22.753999999999998;24.238138358330055;21.26986164166994;22.887146600832864;22.80533333333332;24.0542209335981;21.55644573306854;22.798619869564426;22.849499999999995;23.986858290768083;21.712141709231908;22.69084769173369;22.801985;23.707802
