,DateTime,Open,High,Low,Close,Volume,Average
109,20191105,29.795,29.98,28.98,29.05,77386100,29.32480737
110,20191106,29.445,30.08,27.53,29.11,146149600,28.95346465
111,20191107,29.395,30.44,28.945,30.275,87432800,29.83969022
112,20191108,29.835,30.17,29.395,29.415,47075800,29.76767521
113,20191111,29.245,29.835,29.185,29.835,24164100,29.60695515
114,20191112,29.63,30.19,29.6,29.61,36622300,29.85589814
115,20191113,29.54,29.715,29.205,29.49,35502200,29.44510275
116,20191114,29.47,29.69,28.87,28.9,35073900,29.30849973
117,20191118,29.295,29.44,28.71,28.68,44056700,29.03184162
118,20191119,28.85,29.085,28.335,28.385,27640500,28.6254846
119,20191121,28.535,29.185,28.485,29.44,40567100,28.85233439
120,20191122,29.35,29.925,29.155,29.57,28455100,29.57381535
121,20191125,29.51,29.69,29.225,29.325,24210500,29.45102058
122,20191126,29.215,29.325,28.7,28.79,35852700,28.9124989
123,20191127,28.95,29.245,28.74,28.93,26395700,28.99682784
124,20191128,28.92,29.135,28.415,29.125,41394800,28.76701914
125,20191129,29.085,29.155,28.615,28.75,29428600,28.7694849
126,20191202,28.995,29.095,28.71,28.67,24055000,28.85233439
127,20191203,28.77,28.79,28.335,28.585,24372300,28.53573099
128,20191204,28.86,29.125,28.71,29.255,35977600,28.95688255
129,20191205,29.235,29.975,29.115,29.64,42870600,29.71880196
130,20191206,29.735,30.17,29.715,29.935,38406200,30.00976147
131,20191209,29.885,30.065,29.705,29.795,27069000,29.9032407
132,20191210,29.69,29.965,29.49,30.025,21293900,29.78981581
133,20191211,30.09,30.29,29.845,29.985,31488700,30.03639166
134,20191212,30.22,30.575,30.065,30.545,39837900,30.32784433
135,20191213,30.465,30.545,29.46,29.57,93851500,29.83124055
136,20191216,29.64,29.755,29.245,29.005,49201500,29.49195217
137,20191217,29.235,29.48,29.025,29.44,32364000,29.27496541
138,20191218,29.345,30.15,29.295,30.12,51740400,29.79228156
139,20191219,30.035,30.33,30.005,30.19,26627000,30.15326862
140,20191220,30.18,30.18,29.62,29.845,41896300,29.80017199
141,20191223,29.775,30.035,29.62,30.08,16528400,29.82532273
142,20191226,30.165,30.505,30.075,30.485,18899500,30.33414649
143,20191227,30.69,30.92,30.29,30.52,20082900,30.51953761
144,20191230,30.55,30.71,30.18,30.18,15290800,30.38504405
145,20200102,30.51,30.69,30.31,30.7,31101300,30.54803624
146,20200103,30.88,31.24,30.57,30.45,55626300,30.87102076
147,20200106,30.43,30.94,29.95,30.81,71205900,30.69952898
148,20200107,30.82,30.88,30.47,30.69,27767100,30.64853142
149,20200108,30.69,30.77,30.24,30.5,39019200,30.48403931
150,20200109,30.47,30.62,30.25,30.4,30629100,30.42704204
151,20200110,30.39,30.44,30.22,30.27,18820100,30.33554642
152,20200113,30.35,30.43,30.22,30.33,23739000,30.33654637
153,20200114,30.23,30.27,29.77,30.0,32120700,29.99706264
154,20200115,29.9,29.93,29.58,29.55,25740000,29.7140762
155,20200116,29.6,29.7,29.33,29.52,22410500,29.46658806
156,20200117,29.72,29.82,29.54,29.85,26515400,29.65007927
157,20200120,29.7,30.1,29.65,30.0,24179200,29.95856449
158,20200121,29.8,29.94,29.55,29.62,23661300,29.68507759
159,20200122,29.73,29.81,29.39,29.29,22225500,29.5075861
160,20200123,29.09,29.76,28.82,29.6,42857300,29.3050958
161,20200124,29.56,29.78,29.14,29.3,31081600,29.39259161
162,20200127,28.63,28.64,27.67,28.03,54281900,28.20264862
163,20200128,28.43,29.14,28.42,28.8,38447600,28.81161944
164,20200129,29.0,29.08,28.67,28.85,33201300,28.86861671
165,20200130,28.28,28.95,28.18,28.94,36202100,28.47413561
166,20200131,28.63,28.84,28.31,28.45,40833600,28.49563458
167,20200203,28.52,28.73,28.16,28.18,31074500,28.41413849
168,20200204,28.65,29.04,28.56,28.63,50656600,28.78462074
169,20200205,29.05,29.22,28.49,28.39,48441600,28.86211702
170,20200206,28.7,29.51,28.12,29.18,109252100,28.98661106
171,20200207,29.0,29.35,28.73,28.93,47051900,29.10210552
172,20200210,28.89,29.11,28.64,29.13,33581000,28.87461643
173,20200211,29.4,29.63,29.26,29.48,29795900,29.47758753
174,20200212,29.64,30.28,29.63,30.13,53650500,30.03206096
175,20200213,29.77,30.21,29.64,29.72,47527600,29.82607083
176,20200214,29.86,29.96,29.43,29.42,24335600,29.68457761
177,20200217,29.63,29.77,29.31,29.36,30917700,29.49758657
178,20200218,29.06,29.77,28.95,29.75,27760300,29.30159597
179,20200219,29.87,30.4,29.76,30.55,37142000,30.14305565
180,20200220,30.8,30.89,29.75,29.92,64301300,30.18905344
181,20200221,29.51,29.68,29.06,29.14,37662800,29.31859515
182,20200226,27.04,27.39,26.33,26.21,65443600,26.89621122
183,20200227,25.72,26.53,24.89,25.3,86065000,25.65827054
184,20200228,25.16,25.56,24.62,25.34,75047100,25.00030207
185,20200302,25.5,26.75,25.48,26.53,59584800,26.13624764
186,20200303,26.57,27.48,25.76,26.05,75122100,26.70072059
187,20200304,26.91,26.94,26.24,26.89,34301200,26.63122392
188,20200305,26.33,26.67,25.0,25.29,53962400,26.07125075
189,20200306,24.1,24.13,22.72,22.83,102671900,23.37388
190,20200309,17.81,18.23,15.93,16.05,215703100,17.25117338
191,20200310,18.65,18.65,16.37,17.56,142366100,17.37866727
192,20200311,16.7,17.13,15.04,15.85,96747300,16.30371878
